Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
3.899997,7.15855,14.79005,1.272011,0.2380938,144.4454,408.7277,1030.422,0.1355392,41051.98,2779.927,368.1488,37629.66,37997.81
3.999997,7.283645,15.48722,1.252818,0.2422295,142.6278,415.8273,1035.129,0.1378935,41801.02,2882.517,385.3331,38258.93,38644.26
4.099997,7.40949,16.19714,1.233133,0.2465213,140.7725,423.1949,1039.766,0.1403368,42556.49,2987.788,403.2001,38891.26,39294.46
4.199997,7.529388,16.91936,1.214403,0.2505646,139.0531,430.1359,1043.912,0.1426385,43278.31,3090.063,420.7845,39493.21,39914
4.299997,7.647352,17.65375,1.196526,0.254594,137.3668,437.0531,1047.836,0.1449323,43990.36,3192.563,438.6278,40084.9,40523.53
4.399997,7.771727,18.40001,1.178904,0.258516,135.7513,443.7859,1051.465,0.147165,44743.17,3302.658,458.0349,40708.22,41166.25
4.499997,7.88065,19.15815,1.162594,0.2623829,134.1832,450.424,1054.865,0.1493662,45404.22,3400.816,475.5512,41253.59,41729.14
4.599997,8.002097,19.92769,1.14558,0.2662809,132.6269,457.1156,1058.12,0.1515853,46143.25,3512.148,495.6529,41861.18,42356.83
4.699996,8.116606,20.70878,1.130054,0.2701205,131.1177,463.7068,1061.163,0.153771,46841.89,3618.977,515.1795,42433.47,42948.65
4.799996,8.226898,21.50127,1.114819,0.2739257,129.6448,470.2391,1064.024,0.1559372,47516.6,3723.591,534.5237,42984.22,43518.75
4.899996,8.336429,22.30486,1.099429,0.2775762,128.2531,476.5058,1066.629,0.1580153,48188.46,3829.167,554.2666,43530.76,44085.02
4.999996,8.444242,23.11954,1.084926,0.2812644,126.8677,482.8372,1069.127,0.1601149,48851.46,3934.722,574.2253,44068.24,44642.46
5.099996,8.555435,23.94495,1.07062,0.2847469,125.5785,488.8155,1071.365,0.1620973,49537.15,4045.312,595.3699,44622.19,45217.56
5.199996,8.661516,24.78099,1.057029,0.2883176,124.2754,494.9452,1073.543,0.16413,50192.97,4152.445,616.0807,45150.16,45766.24
5.299996,8.763252,25.62764,1.043481,0.2918202,123.0154,500.9581,1075.568,0.166124,50823.57,4256.709,636.4503,45656.12,46292.57
