Time,Speed,Distance,acceleration,force,torque,rpm
8.600007,0.1494263,0.01337349,-0.0175,3.5,3.5,0.1494263
8.700009,0.151525,0.01340022,-0.0175,3.5,3.5,0.151525
8.800012,0.1532892,0.01342835,-0.0175,3.5,3.5,0.1532892
8.900014,0.1551078,0.01345795,-0.0175,3.5,3.5,0.1551078
9.000016,0.1568021,0.01348898,-0.0175,3.5,3.5,0.1568021
9.100019,0.1585398,0.01352144,-0.0175,3.5,3.5,0.1585398
9.200021,0.1602899,0.01355527,-0.0175,3.5,3.5,0.1602899
9.300023,0.1620253,0.01359051,-0.0175,3.5,3.5,0.1620253
9.400025,0.1637749,0.01362711,-0.0175,3.5,3.5,0.1637749
9.500028,0.1654397,0.01366505,-0.0175,3.5,3.5,0.1654397
9.60003,0.1672853,0.01370446,-0.0175,3.5,3.5,0.1672853
