Time,Speed,Distance,acceleration,force,torque,rpm
0.09999999,0.001540002,5.321435E-05,-0.01749948,3.499897,3.499897,0.0001880358
0.2,0.002993623,0.0002689378,-0.01749879,3.499758,3.499758,0.0004393993
0.3,0.004673239,0.0006410566,-0.01749808,3.499617,3.499617,0.0006968818
0.4,0.006276779,0.001171971,-0.0174974,3.49948,3.49948,0.0009452914
0.5000001,0.00772636,0.001861913,-0.01749671,3.499341,3.499341,0.001198218
0.6,0.009401907,0.002708031,-0.01749601,3.499202,3.499202,0.001452113
0.6999999,0.01095048,0.003711782,-0.01749532,3.499065,3.499065,0.001700696
0.7999998,0.01252571,0.004871634,-0.01749465,3.49893,3.49893,0.0019456
0.8999997,0.01414091,0.006190037,-0.01749395,3.49879,3.49879,0.002200658
0.9999996,0.01574662,0.007666595,-0.01749329,3.498657,3.498657,0.002442062
1.1,0.01724639,0.00930157,-0.01749258,3.498517,3.498517,0.002697795
1.199999,0.01884278,0.01109311,-0.01749188,3.498376,3.498376,0.002953508
1.299999,0.02045671,0.01263842,-0.01749122,3.498244,3.498244,0.003194807
1.399999,0.0220255,0.01263893,-0.01749055,3.49811,3.49811,0.003437761
1.499999,0.02361029,0.01263945,-0.01748981,3.497962,3.497962,0.003706459
1.599999,0.0251506,0.01263998,-0.01748912,3.497824,3.497824,0.003958265
1.699999,0.02671072,0.01264053,-0.01748846,3.497692,3.497692,0.004198716
1.799999,0.02831576,0.01264107,-0.01748778,3.497556,3.497556,0.004445454
1.899999,0.02987875,0.01264168,-0.0174871,3.497419,3.497419,0.004694044
1.999999,0.03148175,0.01264225,-0.0174864,3.497281,3.497281,0.004946151
2.099999,0.03302559,0.01264283,-0.01748569,3.497139,3.497139,0.005204699
2.199999,0.03458215,0.01264342,-0.01748499,3.496999,3.496999,0.005458378
2.299999,0.03620852,0.01264402,-0.01748432,3.496863,3.496863,0.005705364
2.399998,0.03772229,0.01264464,-0.01748366,3.496731,3.496731,0.00594576
2.499998,0.03927129,0.01264528,-0.01748295,3.496591,3.496591,0.006201197
