Time,Speed,Distance,acceleration,force,torque,rpm
7.099994,1.734665,4.744146,-0.2457663,0.009595018,23.3478,16.56483
7.199994,1.760848,4.895272,-0.2457663,0.009784683,23.3478,16.81486
7.299994,1.783958,5.048949,-0.2457663,0.009869496,23.3478,17.03555
7.399994,1.808793,5.205117,-0.2457663,0.01002226,23.3478,17.2727
7.499994,1.82912,5.363256,-0.2457663,0.01009859,23.3478,17.46681
7.599994,1.859873,5.523952,-0.2457663,0.01029588,23.3478,17.76048
7.699994,1.881726,5.687211,-0.2457663,0.0103984,23.3478,17.96916
7.799994,1.905788,5.852963,-0.2457663,0.01055512,23.3478,18.19894
7.899993,1.935453,6.021317,-0.2457663,0.01073602,23.3478,18.48221
7.999993,1.954025,6.19228,-0.2457663,0.01085074,23.3478,18.65956
8.099996,1.984985,6.365604,-0.2457663,0.01101713,23.3478,18.95521
8.199998,2.003596,6.541406,-0.2457663,0.01112564,23.3478,19.13293
8.3,2.034507,6.71946,-0.2457663,0.0112702,23.3478,19.42811
8.400002,2.056049,6.900043,-0.2457663,0.01140523,23.3478,19.63382
8.500005,2.074848,7.082944,-0.2457663,0.01148452,23.3478,19.81334
8.600007,2.104999,7.268306,-0.2457663,0.01169921,23.3478,20.10126
8.700009,2.133123,7.456036,-0.2457663,0.01181848,23.3478,20.36983
8.800012,2.151942,7.646566,-0.2457663,0.01191936,23.3478,20.54953
8.900014,2.180204,7.839481,-0.2457663,0.01210943,23.3478,20.81942
9.000016,2.201878,8.03439,-0.2457663,0.01212782,23.3478,21.02639
9.100019,2.22942,8.232094,-0.2457663,0.01234998,23.3478,21.28939
9.200021,2.253486,8.432464,-0.2457663,0.01249512,23.3478,21.5192
9.300023,2.278391,8.635221,-0.2457663,0.01262722,23.3478,21.75703
9.400025,2.305183,8.840397,-0.2457663,0.01278432,23.3478,22.01288
9.500028,2.324386,9.048181,-0.2457663,0.01288172,23.3478,22.19625
9.60003,2.351218,9.258226,-0.2457663,0.01306421,23.3478,22.45248
9.700032,2.37877,9.470879,-0.2457663,0.01318238,23.3478,22.71558
9.800035,2.403008,9.685981,-0.2457663,0.01333531,23.3478,22.94704
9.900037,2.42608,9.903597,-0.2457663,0.0134769,23.3478,23.16735
10.00004,2.452492,10.12354,-0.2457663,0.01359494,23.3478,23.41958
10.10004,2.474778,10.34593,-0.2457663,0.01371915,23.3478,23.63239
10.20004,2.494286,10.57065,-0.2457663,0.01382143,23.3478,23.81867
10.30005,2.521104,10.79791,-0.2457663,0.01397478,23.3478,24.07477
10.40005,2.549683,11.02766,-0.2457663,0.01415238,23.3478,24.34768
